fips,countyname,state,type,color,typename,death,income,nhwhite,obesity,childpoverty,uninsured,longcommute,college,mental,foodinsecure,healthfood,singleparent
1077,Lauderdale County,AL,4,82477F,Evangelical Hubs,8.671725737,44.124,84.8,34.8,20.9,11.2,30.1,58.00954967,13.59712388,15.6,5.03807409,35.08426817
1079,Lawrence County,AL,4,82477F,Evangelical Hubs,10.95317031,43.107,76.7,33.6,24,13.6,47.3,50.6689579,14.25113656,15.4,2.12248817,30.95630668
1081,Lee County,AL,3,457A59,African American South,7.98156443,47.749,67.6,29.8,18.2,11.5,28.3,71.64972443,13.65566011,18.4,12.24950372,35.12012012
1083,Limestone County,AL,1,FCB93A,Exurbs,7.437426097,52.181,76.9,33.6,17.8,12.1,38.4,55.39189685,12.62634982,12.9,3.51835386,26.78945365
1085,Lowndes County,AL,3,457A59,African American South,14.44361926,32.011,24.5,46.2,57.5,12,58.7,37.3980249,16.01088985,28.3,13.06214495,73.08006536
1087,Macon County,AL,3,457A59,African American South,13.90872913,30.681,15.6,47.8,45.2,10.8,36.5,53.65423387,15.3076351,27.3,21.63866443,61.45893165
1089,Madison County,AL,7,F08031,Urban Suburbs,7.545673711,61.193,65,32.8,18.4,10.3,24.5,73.79063669,12.10149337,15.1,7.46734512,30.8415886
1091,Marengo County,AL,3,457A59,African American South,11.65980851,34.794,45.1,39.4,36.8,10.8,33.5,50.9913121,15.60156569,22.9,12.62897065,57.79697624
1093,Marion County,AL,4,82477F,Evangelical Hubs,10.65926136,36.386,91.9,34.9,27.2,13,28.9,53.26900922,14.47112013,15,3.25454263,28.02790108
1095,Marshall County,AL,4,82477F,Evangelical Hubs,10.60096991,42.117,81.4,33.7,32.1,15.5,29.3,49.31154996,14.74551997,12.4,5.18750541,34.24290834
1097,Mobile County,AL,3,457A59,African American South,10.12685817,45.233,57.3,35.8,30.4,13,35.3,60.3821044,13.84266299,19.2,10.2659253,43.77468954
1099,Monroe County,AL,3,457A59,African American South,11.54012813,36.639,54.7,39.2,34.6,14.2,32.1,42.17743611,15.12062351,25,12.83952666,52.04041974
1101,Montgomery County,AL,3,457A59,African American South,10.04949834,45.111,34.7,36.8,28.6,12.2,19.2,62.23421289,13.46436122,22.6,14.57214106,51.7667068
1103,Morgan County,AL,4,82477F,Evangelical Hubs,8.845547768,46.843,76.1,31.5,23.2,13.7,37.2,53.8341418,13.26448233,13.7,4.08420181,31.6751269
1105,Perry County,AL,3,457A59,African American South,13.55269847,25.221,29.9,44.1,51.6,12.7,44.1,48.05904866,17.39529256,29,4.88511751,76.3963964
1107,Pickens County,AL,3,457A59,African American South,10.69186194,35.968,54.4,35.4,36.6,12.5,45.5,54.11640212,14.86957095,21.2,0.89215884,49.72586412
1109,Pike County,AL,3,457A59,African American South,9.61196139,35.172,56,41.7,36.7,13.8,21.8,58.45441687,14.89286289,22.3,6.30434457,47.24242424
1111,Randolph County,AL,4,82477F,Evangelical Hubs,12.08655973,40.283,75.2,33.9,34.5,13.7,43.7,48.58622063,13.99243607,16.7,6.81548308,32.92658532
1113,Russell County,AL,3,457A59,African American South,9.186836346,38.617,47.1,40.7,28.1,11.3,36.5,62.64661654,14.26776106,20.4,5.54670323,45.18051174
1115,St. Clair County,AL,1,FCB93A,Exurbs,9.818209625,57.856,85.9,36.3,17.1,11.5,52.1,54.35681037,12.34616941,12.9,1.56785841,27.02036711
1117,Shelby County,AL,1,FCB93A,Exurbs,6.226679325,74.212,78.4,29.2,9.9,8.4,45.8,74.48270988,11.35379171,10,4.3024798,20.07755192
1119,Sumter County,AL,3,457A59,African American South,15.39565995,26.814,24.8,40.3,44.1,12.5,37.9,50.44411547,16.79092647,30.2,10.37288563,70.6505295
1121,Talladega County,AL,4,82477F,Evangelical Hubs,11.81747237,40.555,63.1,40.6,24.6,11.2,33.5,47.82823054,14.49592912,19.2,5.85466459,45.24414175
1123,Tallapoosa County,AL,4,82477F,Evangelical Hubs,9.790656401,40.169,69.1,36.7,30.3,12,33.2,45.79653255,15.18866731,18.1,4.3249544,49.88587081
1125,Tuscaloosa County,AL,3,457A59,African American South,8.442771897,47.483,62.1,33.4,21.9,9.8,24,64.2507456,13.99199215,17.9,6.49404256,39.3045086
1127,Walker County,AL,4,82477F,Evangelical Hubs,14.9343414,39.511,89.1,36.2,29.9,12.8,39.5,50.60023235,14.74770582,16,5.21006974,37.25098228
1129,Washington County,AL,4,82477F,Evangelical Hubs,11.89465061,37.575,64.6,40.3,26.5,12.1,47.8,45.15041494,14.6220046,17.3,3.58356589,37.79247202
1131,Wilcox County,AL,3,457A59,African American South,18.33468819,24.216,27.6,42.6,48.8,12.3,35.2,34.2094783,16.52306529,32.2,30.46474603,63.30166271
1133,Winston County,AL,4,82477F,Evangelical Hubs,10.65616897,38.644,94,34.7,25.1,12.6,39.8,55.39528939,14.83072751,15.1,2.65501285,30.82859464
2013,Aleutians East Borou,AK,9,EACD3F,Native American Lands,0,63.991,10.9,34.9,13.5,37.4,0.3,38.92156863,9.00943235,13.8,34.93750965,40
2016,Aleutians West Censu,AK,9,EACD3F,Native American Lands,4.950072971,78.151,24.1,40.7,8.2,21.8,0.4,50.47762695,8.4830857,13.8,8.57404779,29.86425339
2020,Anchorage Borough,AK,6,ABBF48,Military Posts,7.477674903,83.959,58.6,27.8,10.2,13.6,14,70.5227395,9.84402097,12.3,5.11383882,31.22398675
2050,Bethel Census Area,AK,9,EACD3F,Native American Lands,12.52858495,46.634,9.9,29.4,33.8,24.6,0.8,33.95440596,17.80499058,21.6,41.98759872,34.80392157
2060,Bristol Bay Borough,AK,6,ABBF48,Military Posts,22.05392188,68.026,43.7,39.1,14.2,21.7,2.3,60.51502146,11.56553691,14.2,17.66323306,30
2068,Denali Borough,AK,6,ABBF48,Military Posts,7.906362967,72.378,82.5,26.4,8.5,19.1,21.8,79.76011994,9.8866628,13.9,22.93371496,7.7994429
2070,Dillingham Census Ar,AK,9,EACD3F,Native American Lands,14.18219277,52.25,16.2,40.5,31.9,23.3,2.8,49.57482993,15.44535039,17.7,32.19756974,35.05417463
2090,Fairbanks North Star,AK,6,ABBF48,Military Posts,6.71415824,73.427,70.2,28.9,9.9,14.1,14.7,73.56471294,9.73390464,12.9,7.27681988,28.00230709
2100,Haines Borough,AK,2,2E547A,Graying America,3.863885935,53.471,78,24.8,16.8,22.1,4.5,73.36683417,10.68310299,14,7.44098169,13.44902386
2105,Hoonah-Angoon Census,AK,2,2E547A,Graying America,4.038190713,53.884,45.2,32.1,35.4,24.4,4,54.65994962,12.74667575,19.1,38.76796357,52.55102041
2110,Juneau Borough,AK,6,ABBF48,Military Posts,6.443884886,82.011,64.9,28.8,9.9,14.3,6.1,75.68362567,10.13815478,11,5.90628333,29.30377065
2122,Kenai Peninsula Boro,AK,2,2E547A,Graying America,7.549000142,68.501,80.7,28.6,16.2,18.9,15.6,59.54170883,10.78543131,13.3,5.83536074,25.7449705
2130,Ketchikan Gateway Bo,AK,6,ABBF48,Military Posts,6.514578964,67.125,64.3,34.5,12.9,18.8,6.9,57.65407555,10.75820722,14.5,1.61387287,32.29369721
2150,Kodiak Island Boroug,AK,6,ABBF48,Military Posts,6.663045499,74.683,50,29.6,9.3,21,1.9,69.64878975,9.41176557,12.2,4.60625565,29.9052774
2158,Kusilvak Census Area,AK,9,EACD3F,Native American Lands,30.71736282,34.341,3.7,27.5,45.4,22.9,1,23.16176471,22.20633022,27.1,41.8397067,47.96013703
2164,Lake and Peninsula B,AK,9,EACD3F,Native American Lands,11.28231417,44.31,22.6,31.8,32.7,31.9,0,47.36842105,16.051985,18.6,43.51634435,49.65197216
2170,Matanuska-Susitna Bo,AK,2,2E547A,Graying America,7.012871245,71.793,79.8,31.1,10.2,16.7,41.6,59.4962406,10.8650828,12.7,7.62394092,23.63922038
2180,Nome Census Area,AK,9,EACD3F,Native American Lands,11.38309356,55.974,14.7,33.5,30.6,24,0.4,40.43052838,16.92049873,21.5,38.09334495,45.41962175
2185,North Slope Borough,AK,9,EACD3F,Native American Lands,9.430776603,74.998,31.3,36.9,14.8,18.1,1.8,49.59292035,11.84685792,14,13.19718346,47.79231398
2188,Northwest Arctic Bor,AK,9,EACD3F,Native American Lands,11.99075707,53.692,11.1,35.7,36.6,25.5,0,33.04699343,16.59021807,22.4,34.05510868,45.17203108
2195,Petersburg Census Ar,AK,10,3A9C9B,Rural Middle America,4.784703366,60.54,71.8,31.2,13,18,0.7,59.81432361,10.34729041,13.6,0.6621123,32.50688705
2198,Prince of Wales-Hyde,AK,2,2E547A,Graying America,5.953222263,48.888,45,34.4,25.2,25.2,10.9,50.06622517,13.35693616,17.2,14.76499609,39.92068738
2220,Sitka Borough,AK,6,ABBF48,Military Posts,4.6767622,72.795,61.4,28.4,9.4,20,2.4,67.13947991,10.1995759,12.2,4.13290624,35.33299441
2230,Skagway Municipality,AK,2,2E547A,Graying America,0,65.112,82.1,28.7,9.2,16.8,1.1,78.19314642,9.38950978,15.3,0.05050889,34.09090909
2240,Southeast Fairbanks,AK,6,ABBF48,Military Posts,7.295959516,59.412,74.1,32.6,16.9,21.7,10.1,53.74928449,10.89720713,16,18.82424123,27.57313109
2261,Valdez-Cordova Censu,AK,6,ABBF48,Military Posts,7.44512734,69.755,70,30.9,11.3,18.6,5.6,65.44821584,10.36519845,13.6,15.31539856,24.11816578
2275,Wrangell City,AK,10,3A9C9B,Rural Middle America,0,56.747,67.2,33.4,18.4,18.9,1.7,67.71300448,11.59700858,15,6.56658199,42.51012146
2282,Yakutat Borough,AK,6,ABBF48,Military Posts,0,57.687,32.9,31.2,31.7,33.9,0,60.57142857,12.56558223,14.4,25.35433057,42.36111111
2290,Yukon-Koyukuk Census,AK,9,EACD3F,Native American Lands,16.35987347,37.906,21.6,30.3,28.1,30.7,9.3,46.85802948,16.43110151,22.4,49.74586879,48.71134021
4001,Apache County,AZ,9,EACD3F,Native American Lands,15.31868915,34.04,18,33.7,41.1,17.5,38.6,48.86891661,18.97581913,26.6,47.39151395,52.42560521
4003,Cochise County,AZ,6,ABBF48,Military Posts,7.353007015,45.151,55.7,26.6,33.2,10.7,20.5,65.68985364,12.29144717,15,14.4701918,37.3101723
4005,Coconino County,AZ,11,C44244,College Towns,7.528277248,53.643,54.7,22.8,20.7,14.6,14.5,69.25633196,14.09197346,19.9,13.83168032,37.1574594
4007,Gila County,AZ,2,2E547A,Graying America,12.80902894,40.747,62.8,27.5,33.5,13.6,17.5,52.12184874,14.62838315,18.5,15.82668414,45.07160126
4009,Graham County,AZ,9,EACD3F,Native American Lands,7.32848231,46.714,51,31.9,26.5,11.6,19,50.15055852,12.91251944,15.8,19.00577286,32.46337441
4011,Greenlee County,AZ,2,2E547A,Graying America,7.339314553,61.11,47.4,29.5,13.6,7.3,18.3,54.99606609,11.81045779,13.3,30.54644934,35.92650508
4012,La Paz County,AZ,2,2E547A,Graying America,13.04584454,34.285,57.5,28.1,37.9,21.1,10.8,33.67675467,14.16609114,16,18.95471346,48.41772152
4013,Maricopa County,AZ,14,C43B82,Big Cities,6.146527531,58.742,56.1,26.3,21.5,12.5,36.8,64.64354065,11.21233572,15,4.39947262,35.03479135
4015,Mohave County,AZ,2,2E547A,Graying America,10.55651866,42.003,77.7,30.4,28.7,14,16.6,46.23445329,13.45012407,19.1,20.01212971,41.82925847
4017,Navajo County,AZ,9,EACD3F,Native American Lands,11.95011462,37.44,41.2,31.4,37.7,15.6,24.3,50.48675852,16.97148023,23,25.00540788,45.03544919
4019,Pima County,AZ,7,F08031,Urban Suburbs,7.228819803,47.644,52.5,24.9,26.8,12.2,33.7,66.11367929,11.89651205,14.6,7.68111718,39.44225318
4021,Pinal County,AZ,2,2E547A,Graying America,6.651854176,52.642,57.8,32.6,21.5,12.6,52.4,54.73848482,12.21923323,14.7,7.20324992,34.46213258
4023,Santa Cruz County,AZ,8,1F8FBA,Hispanic Centers ,4.416921831,39.09,15.1,23.7,34.5,15,25.6,54.92149758,13.09291075,8.6,12.80790272,38.814546
4025,Yavapai County,AZ,2,2E547A,Graying America,8.546432034,49.824,80.8,23.3,19.7,13.2,26.3,59.60868674,11.68329806,16.8,12.60656643,30.87230479
4027,Yuma County,AZ,8,1F8FBA,Hispanic Centers ,6.076854221,42.998,31.9,31,29,17.4,18.7,54.2153048,12.85018893,17.5,9.5970112,30.44630352
5001,Arkansas County,AR,4,82477F,Evangelical Hubs,11.17324101,39.726,70.1,31.9,27.9,10.5,14.8,49.55017301,14.59645164,19.8,17.82182264,41.74159962
5003,Ashley County,AR,3,457A59,African American South,10.11074749,41.277,68.1,42.1,29.8,10.1,17.8,53.59300146,14.50508627,20.5,12.00484694,34.72760661
5005,Baxter County,AR,5,86563E,Working Class Country,9.680263589,40.147,94.9,34.1,22.2,10,15.1,62.06582542,14.09917595,15.8,4.41913402,32.08675101
5007,Benton County,AR,1,FCB93A,Exurbs,6.236763804,64.072,74,30.8,11.9,11.4,20.7,60.06415625,13.02373442,11.9,5.30328766,23.85518443
5009,Boone County,AR,4,82477F,Evangelical Hubs,8.983007071,39.881,94,37.8,24.1,10.4,21.4,58.09315195,13.82829236,16.2,10.35640575,28.90906829
5011,Bradley County,AR,3,457A59,African American South,12.73556603,34.114,55.6,41.7,34.2,14.9,26.9,43.65805169,16.01467145,20.9,5.17348068,53.45568137
5013,Calhoun County,AR,3,457A59,African American South,9.47159657,33.507,72.4,36.5,24.3,9.9,42.8,45.84086799,14.91031388,18.1,32.5506011,44.38976378
5015,Carroll County,AR,5,86563E,Working Class Country,9.037092244,37.145,80.2,34,28.1,16.7,22.8,45.1901566,14.34574978,13.5,3.81329925,28.45862806
5017,Chicot County,AR,3,457A59,African American South,11.53415776,29.527,39.2,43.4,44,11.8,23.9,43.1837074,15.87012964,27.9,33.39104809,51.16004719
5019,Clark County,AR,11,C44244,College Towns,8.731658039,37.247,68.8,34.2,27.8,10.4,28.3,61.34602612,14.98339746,21.2,21.4556673,39.38285714
5021,Clay County,AR,5,86563E,Working Class Country,10.99357604,36.037,95.7,35.2,26.8,12,35,46.6528436,15.19844975,18.1,4.30630696,40.33427941
5023,Cleburne County,AR,5,86563E,Working Class Country,10.07928853,42.397,94.9,33.7,24.9,10.5,34.8,47.67351687,13.37683055,15.9,3.26088031,31.2152502
5025,Cleveland County,AR,4,82477F,Evangelical Hubs,10.4432776,45.256,84.5,35.2,22.2,9.3,52.8,51.73724213,13.85966256,17.8,5.51629979,33.91752577
5027,Columbia County,AR,3,457A59,African American South,10.58130849,35.322,59.3,34.2,32.6,11,18.9,57.8028169,14.87586625,23.5,7.2379853,45.10759237
5029,Conway County,AR,4,82477F,Evangelical Hubs,9.62923195,41.892,81.5,37.9,28.2,11,33.9,53.33469305,14.44079519,18.9,6.30056242,37.39002933
5031,Craighead County,AR,11,C44244,College Towns,8.936008124,44.091,77.1,35.6,20.6,10.6,14,59.61934695,14.19956978,18.9,8.56589924,44.19396172
5033,Crawford County,AR,4,82477F,Evangelical Hubs,8.888090882,42.941,84.7,33.9,24.3,12.1,30,50.81150986,14.44360069,15.2,7.83689225,31.65393084
5035,Crittenden County,AR,3,457A59,African American South,11.46624792,37.627,42.6,40.4,38.4,8.5,31.2,53.2826261,15.41627313,25.8,4.95320272,54.33849735
5037,Cross County,AR,4,82477F,Evangelical Hubs,10.82765858,40.97,72.7,39.4,29.4,10.7,23.8,42.05469327,14.76544635,20.6,6.41611262,35.24648726
5039,Dallas County,AR,3,457A59,African American South,11.20487348,33.679,52.6,38.6,33.2,9.3,41.9,42.09274673,13.85199024,22.2,18.30776657,32.18855219
5041,Desha County,AR,3,457A59,African American South,12.78032595,32.392,45.8,39,40.3,10.8,24.6,43.39914828,16.54950657,27.8,20.00667873,53.80078637
5043,Drew County,AR,3,457A59,African American South,10.63665824,40.441,66.8,36.8,26.8,10.3,22.9,55.61981393,15.70568833,24.2,10.78822172,39.1438886
5045,Faulkner County,AR,11,C44244,College Towns,7.414741714,50.909,80.8,33.1,17.2,8.9,35.8,67.25704463,13.74391411,17.1,5.56471707,28.52043548
5047,Franklin County,AR,5,86563E,Working Class Country,10.49737703,40.091,92.4,32.6,25.3,11.4,44.4,52.0339406,14.7578221,17.2,3.63946477,20.81242533
5049,Fulton County,AR,5,86563E,Working Class Country,9.907389766,33.451,95.4,30.9,36.8,10.5,31,56.35813149,14.79405776,16.6,12.1361199,32.74445357
5051,Garland County,AR,4,82477F,Evangelical Hubs,10.37604045,42.087,82.4,30.5,30.7,12.9,21,60.1255096,14.61131342,18.1,10.71483313,40.77284218
5053,Grant County,AR,4,82477F,Evangelical Hubs,8.632959419,54.411,92.7,39.2,16.9,8.7,51.8,60.46563689,13.19281168,14.5,4.4258731,26.33325433
5055,Greene County,AR,4,82477F,Evangelical Hubs,10.59163773,45.208,93.4,33.3,22.5,8.9,27.6,53.22451876,13.80391613,16.9,9.46487095,30.98672271
5057,Hempstead County,AR,3,457A59,African American South,10.17257423,38.769,55,38.2,31.2,13.1,21.3,47.82528904,15.902942,20.5,14.49397638,41.25491537
5059,Hot Spring County,AR,4,82477F,Evangelical Hubs,11.35207962,46.313,82.8,35.3,22.9,9,41.9,52.6498385,13.6508459,17.7,6.71045116,35.71328377
5061,Howard County,AR,3,457A59,African American South,9.690386683,36.166,64.4,34.9,28.1,14.4,25.5,55.62384757,15.65174334,18.4,20.69111869,45.61353211
5063,Independence County,AR,4,82477F,Evangelical Hubs,9.544303144,42.52,88.9,36.4,23.5,10.7,20,54.9403183,14.47301011,17.5,7.31366057,35.29885057
5065,Izard County,AR,5,86563E,Working Class Country,9.450685588,36.987,93.2,33.7,30.5,13.5,27.8,47.5,14.7241513,17.5,0.54605396,20.21880065
5067,Jackson County,AR,4,82477F,Evangelical Hubs,10.74921104,35.098,76.9,34.4,31.9,11,24,42.55765199,15.71659124,22.1,10.40398796,46.33380884
5069,Jefferson County,AR,3,457A59,African American South,11.25512293,38.485,39.3,42,31.7,8.9,19.6,47.65138976,15.18021987,26.5,7.10193485,53.20092323
5071,Johnson County,AR,4,82477F,Evangelical Hubs,7.917909243,37.205,80.1,37.6,25.4,15,19.5,37.72370487,15.21733256,15.8,2.9038477,22.38593156
5073,Lafayette County,AR,3,457A59,African American South,12.43861288,32.288,58.9,38.2,40.2,12.5,36.7,44.50474898,15.08805605,24,9.40762472,49.70845481
5075,Lawrence County,AR,5,86563E,Working Class Country,11.11369184,39.015,95.6,32.4,29.7,9.6,39,53.31900027,15.34413362,18.7,15.56016189,36.76588898
5077,Lee County,AR,3,457A59,African American South,10.37468102,26.912,41,39.1,47.7,10.5,31.5,33.53137765,15.98591594,27.6,27.32623752,53.9766702
5079,Lincoln County,AR,3,457A59,African American South,8.462804354,35.419,64.1,36.5,29.3,11.4,34.8,29.20196166,14.18691725,21.7,16.78348094,34.09368635
5081,Little River County,AR,4,82477F,Evangelical Hubs,10.3770972,43.567,72.6,37.6,26.3,10.2,38.1,50.33860045,14.97337248,18.9,4.91053353,36.77000721
5083,Logan County,AR,4,82477F,Evangelical Hubs,11.95682517,39.361,90.9,39.1,28.2,11.3,37.1,43.55701935,14.2809766,16.9,4.9134865,29.75661376
5085,Lonoke County,AR,1,FCB93A,Exurbs,9.542426518,56.247,86.2,38.1,17.1,8.3,47.2,62.33168143,12.56015561,14.7,6.63715362,26.39007699
5087,Madison County,AR,10,3A9C9B,Rural Middle America,9.933416743,39.059,89.7,34.7,25.8,14.8,52.5,35.40532799,15.18533309,15.2,12.04801734,19.31633207
5089,Marion County,AR,5,86563E,Working Class Country,10.47848612,33.95,94.6,33.1,32,10.8,32.7,44.66349422,14.84820827,15.9,6.71520973,35.36671368
5091,Miller County,AR,3,457A59,African American South,9.524923177,38.412,69,33.7,31.8,10.5,20.1,51.47446024,14.32580823,20.4,13.71180457,47.4852785
5093,Mississippi County,AR,3,457A59,African American South,12.30647096,35.846,58.5,41.5,34.2,9.5,21.4,51.17965666,15.77156142,25.7,7.24840241,51.28356697
5095,Monroe County,AR,3,457A59,African American South,10.24692421,32.906,54.4,35.9,41.5,12.6,32.2,42.44105409,16.17191332,26.3,6.34059442,58.1920904
5097,Montgomery County,AR,2,2E547A,Graying America,9.227703471,36.435,91.2,35.7,37.3,13.4,43.5,47.04491726,14.40761913,16.3,11.19482588,21.64651698
5099,Nevada County,AR,3,457A59,African American South,11.46744136,37.612,63.6,35.6,30.7,10.2,39.5,46.51162791,16.65019677,22.2,14.33457232,28.59342916
5101,Newton County,AR,5,86563E,Working Class Country,7.913776739,33.107,94.3,31.8,33.4,11.4,46.7,44.65058751,15.25063778,15.7,21.32055453,16.66666667
5103,Ouachita County,AR,3,457A59,African American South,12.33991304,36.016,55.5,36.3,32.9,8.4,26.7,54.34112742,15.45242093,23.9,13.61073697,47.80444444
5105,Perry County,AR,5,86563E,Working Class Country,9.925791708,43.819,92.3,36.5,25.3,9.9,58.2,47.82608696,14.35610523,15.7,6.27363065,22.91571754
5107,Phillips County,AR,3,457A59,African American South,16.42312308,29.073,34.8,43.6,50.7,9.6,24.9,47.68717215,17.21388412,31.1,31.0328857,58.8411215
5109,Pike County,AR,4,82477F,Evangelical Hubs,10.8452415,34.821,87,36.5,28.5,16.5,44,54.0842969,14.52637604,16.5,10.98576775,28.79684418
5111,Poinsett County,AR,4,82477F,Evangelical Hubs,13.02587831,36.125,87.2,39.9,31.5,11.2,32.8,45.34182883,15.27095017,19.7,19.07090327,47.6006328
